And shall, sir.	I will, sir.
And God forbid, my dear and faithful lord, That you should fashion, wrest, or bow your reading, Or nicely charge your understanding soul With opening titles miscreate, whose right Suits not in native colors with the truth; For God doth know how many now in health Shall drop their blood in approbation	God forbids you, dear and faithful lord, to wear, wrest, or bow your reading, or to charge your understanding soul with opening titles miscreate, whose right is not in native colors with the truth.
And let no man abide this deed But we the doers.	Let no man follow this act, but we the doers.
A proper saying!	A good saying!
Am I a coward?	Am I a coward?
A very pleasing night to honest men.	It is a very pleasing night to honest men.
Are you fair?	Are you fair?
Advise the duke where you are going, to a most festinate preparation.	Ask the duke where you are going, to prepare for the most difficult preparation.
And for the more better assurance, tell them that I, Pyramus, am not Pyramus, but Bottom the weaver.	For the better assurance, tell them that I, Pyramus, am not Pyramus, but I am the weaver.
And a good soldier too, lady.	I am a good soldier, lady.
An apple, cleft in two, is not more twin Than these two creatures.	An apple, cleft in two, is not more twin than these two creatures.
A lantern, slaughtered youth, For here lies Juliet, and her beauty makes This vault a feasting presence full of light.	Juliet is a slaughtered youth lantern, and her beauty makes this vault a feasting presence full of light.
And when you do them—     Cassius, be content.	When you do them, Cassius, be content.
And so I shall catch the fly, your cousin, in the latter end and she must be blind too.	I will catch the fly, your cousin, in the latter end, and she must be blind too.
Against my soul’s pure truth why labour you To make it wander in an unknown field?	Why do you want my soul to wander in an unknown field?
Ah, sirrah, a body would think this was well-counterfeited.	If you think this was a good thing, sir, a body would think it was a good thing.
And what said he?	What was he saying?
Alas, you know not.	You know it.
A spirit, a spirit.	A spirit, a spirit.
All’s well, sweeting, Come away to bed.— Myself will be your surgeon.	All is well, sweet, come back to bed.
And me too, good Lord!	Oh, Lord!
Ah, that good Kent— He said it would be thus, poor banished man.	He said it would be poor banished man.
And so they are.	So they are.
And let him ply his music.	Let him ply his music.
And is he a man to encounter Tybalt?	Is he a man who will meet Tybalt?
And true she is, as she hath proved herself.	She is true, as she has proved herself.
A calendar, a calendar!	A calendar, a calendar!
Am I that name, Iago?	Am I that name, Iago?
A jealous hood, a jealous hood!	A jealous hood, a jealous hood!
A plague o' both your houses!	A plague o' both your houses!
And when she went away now, “Let this fellow be looked to.” “Fellow!” Not “Malvolio,” nor after my degree, but “fellow.” Why, everything adheres together, that no dram of a scruple, no scruple of a scruple, no obstacle, no incredulous or unsafe circumstance—what can be said?	When she went away, she said, “Let this fellow be looked at.” “Fellow!” Not “Malvolio,” nor after my degree, but “fellow.” Why, everything adheres together, that no 
And you, sir.	You, sir.
Antony Did tell me of you, bade me trust you, but I do not greatly care to be deceived, That have no use for trusting.	Antony told me of you, bade me trust you, but I do not care much about being deceived.
And since the quarrel Will bear no color for the thing he is, Fashion it thus: that what he is, augmented, Would run to these and these extremities.	Since the dispute will not bear color for what he is, you should be able to do so by saying that what he is is, augmented, would run to these and these extremities.
A whole one, I.	I am a whole.
All three Now marry in an instant.	All three of us are married in a moment.
And for their sake, In your fair minds let this acceptance take.	Let this acceptance take place in your fair minds.
Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sound Reverbs no hollowness.	Answer my life my judgment, your youngest daughter does not love you the least, and neither are those empty-hearted who do not sound like hollowness.
A golden mind stoops not to shows of dross.	A golden mind stoops away from shows of dross.
All’s well.	All is good.
All this is comfort.	All this is comforting.
An I had been a man of any occupation, if I would not have taken him at a word, I would I might go to hell among the rogues.	If I had been a man of any occupation, if I hadn’t taken him at a word, I would go to hell among the rogues.
About the ninth hour, lady.	About the ninth hour, lady.
And for his cowardship, ask Fabian.	For his cowardship, ask Fabian.
A messenger from Caesar.	A messenger from Caesar.
A substitute shines brightly as a king Until a king be by, and then his state Empties itself, as doth an inland brook Into the main of waters.	A substitute shines brightly as a king until a king is there, and then his state is there, as well as an inland brook in the main of waters.
And I.	I.
