And you, sir, for this chain arrested me.;You, sir, have arrested me.
Ah keeper, keeper, I have done those things, That now give evidence against my soul, For Edward’s sake, and see how he requites me.— O God, if my deep prayers cannot appease thee, But thou wilt be avenged on my misdeeds, Yet execute thy wrath in me alone!;Oh, keeper, I have done those things, and now I can prove my love for Edward and see how he requises me.
And what art thou that dar’st Appear thus to us?;What are you saying that you will do so?
A friend should bear his friend’s infirmities, But Brutus makes mine greater than they are.;A friend should bear his friend’s infirmities, but Brutus makes mine greater than they are.
And you, good sir.;You, sir.
A worthy pioneer!;A worthy pioneer!
And so, adieu.;So, adieu.
And trust me, love, in my eye so do you.;Trust me, love, in my eye.
Are your doors locked?;Are your doors locked?
Alas, what does this gentleman conceive?;What is this gentleman thinking?
And for the more better assurance, tell them that I, Pyramus, am not Pyramus, but Bottom the weaver.;For the better assurance, tell them that I, Pyramus, am not Pyramus, but I am the weaver.
And so, his knell is knolled.;He is a snagged man.
Alas for both, both mine, Edward and Clarence!;I am sorry for both, Edward and Clarence.
Am not I Christopher Sly, old Sly’s son of Burton Heath, by birth a peddler, by education a cardmaker, by transmutation a bearherd, and now by present profession a tinker?;Is Christopher Sly, old Sly’s son of Burton Heath, a peddler, a cardmaker, a bearherd, and now a tinker?
A plague upon you, murderers, traitors all!;You are all murderers, traitors.
Alas, how shall this bloody deed be answered?;How will this bloody act be answered?
And now I have the boy, I will undo This hateful imperfection of her eyes.;Now that I have the boy, I will remove this horrible imperfection of her eyes.
Any bar, any cross, any impediment will be med'cinable to me.;Any bar, any cross, any obstacle will be med'cinable to me.
Antonio.;Antonio.
And, gentle Puck, take this transformèd scalp From off the head of this Athenian swain, That, he awaking when the other do, May all to Athens back again repair And think no more of this night’s accidents But as the fierce vexation of a dream.;Take this transformated scalp from the head of this Athenian swain, that, when he wakes up when the other does, he will return to Athens again and think no more of the accidents of
And earthly power doth then show likest God’s When mercy seasons justice.;When mercy seasons justice, earthly power will show like God’s.
And I do believe your Majesty takes no scorn to wear the leek upon Saint Tavy’s day.;I believe your Majesty does not take any scorn to wear the leek on Saint Tavy’s day.
And neigh, and bark, and grunt, and roar, and burn, Like horse, hound, hog, bear, fire, at every turn.;And neigh, and bark, and grunt, and roar, and burn, like horse, hound, hog, bear, fire, at every turn.
And did not she herself revile me there?;Didn’t she herself retorn me there?
A halter gratis, nothing else, for God’s sake.;A halter gratis, nothing else, for God’s sake.
An you part so, mistress, I would I might never draw sword again.;If you do so, mistress, I would never have to draw sword again.
A jealous hood, a jealous hood!;A jealous hood, a jealous hood!
A good matter, surely.;It is a good thing, surely.
Adieu, good neighbor.;Adieu, good neighbor.
A match!;A match!
And have not we affections, Desires for sport, and frailty, as men have?;Have we not been able to do anything, do we have a desire for sport, and do we have a desire for a skepticism, as men?
And this, Metellus Cimber.;Metellus Cimber.
And were the king on ’t, what would I do?;If I were the king on a king, what would I do?
A pox o' your bottle!;A pox o' your bottle!
Although I joy in thee, I have no joy of this contract tonight.;I am not happy with you, but I am not happy with this contract tonight.
And so I shall catch the fly, your cousin, in the latter end and she must be blind too.;I will catch the fly, your cousin, in the latter end, and she must be blind too.
A foe to tyrants, and my country’s friend.;A foe to tyrants, and a friend to my country.
Am not I your Rosalind?;Am I your Rosalind?
And that most deeply to consider is The beauty of his daughter.;What is most important to consider is the beauty of his daughter.
Alas the day, it did.;It was the day.
And shall our quick blood, spirited with wine, Seem frosty?;Will our bloody blood, spirited with wine, be swollen?
And, in conclusion, she shall watch all night, And if she chance to nod I’ll rail and brawl, And with the clamor keep her still awake.;I will be able to scream and scream, and keep her awake.
And I the king shall love thee.;I will love you.
And I trow this is his house.;I trow this is his house.
A most scurvy monster.;A monster that is most scurvy.
Are all thy conquests, glories, triumphs, spoils, Shrunk to this little measure?;Are all your conquests, glories, triumphs, spoils, all stricken to this little measure?
And that which spites me more than all these wants, He does it under name of perfect love, As who should say, if I should sleep or eat, 'Twere deadly sickness or else present death.;He does it under the name of love, as who should say if I sleep or eat, 'Twere deadly sickness or else present death.
And Trinculo is reeling ripe.;Trinculo is reeling ripe.
Antonio, I arrest thee at the suit of Count Orsino.;Antonio, I arrest you at the suit of Count Orsino.
And if I cannot, I’ll find those that shall.;If I can, I will find those who will.
Ah, dear, if I be so, From my cold heart let heaven engender hail, And poison it in the source, and the first stone Drop in my neck.;If I do, let heaven bring hail to my heart, and poison it in the source, and the first stone drops in my neck.
And seemed I ever otherwise to you?;Isn’t I ever told you something different?
And here I stand, both to impeach and purge, Myself condemnèd and myself excused.;I am a man who is condemned and excused.
And will you, being a man of your breeding, be married under a bush like a beggar?;Will you be married under a bush like a beggar?
All torment, trouble, wonder, and amazement Inhabits here.;All the trouble, sorrow, wonder and amazement in here.
Answer every man directly.;Answer every man directly.
And yet thou wilt tutor me from quarreling!;You will help me out of conflict.
And yet no matter.;And yet no matter what.
Affection is not rated from the heart.;Affection is not rated from the heart.
And, good night, sweet friend.;Good night, sweet friend.
Alone, it was the subject of my theme; In company I often glancèd it.;I was alone, it was the subject of my theme.
A wreck past hope he was.;He was a wreck past hope.
And look when I am king, claim thou of me The earldom of Hereford, and all the moveables Whereof the king my brother was possessed.;When I am king, you are king, and all the moveables where my brother was possessed.
And for my sister and her princely sons, Be satisfied, dear God, with our true blood, Which, as thou know’st, unjustly must be spilt.;For my sister and her princely sons, be satisfied, dear God, with our true blood, which, as you know, must be spilt in unjust way.
Are these, I pray you, wind instruments?;Are these, I pray you, wind instruments?
And doubt not, sir, but she will well excuse Why at this time the doors are made against you.;You are right, sir, but she will be able to excuse why the doors are made against you.
And therefore is he idle?;Is he idle?
And I have built Two chantries where the sad and solemn priests Sing still for Richard’s soul.;I have built two chantries where the sad and solemn priests sing still for Richard’s soul.
Abate the edge of traitors, gracious Lord, That would reduce these bloody days again, And make poor England weep in streams of blood!;Abate the edge of the traitors, gracious Lord, that would reduce these bloody days again and make poor England weep in streams of blood!
Are you so hasty now?;Are you so eile now?
And, for his passage, The soldiers' music and the rites of war Speak loudly for him.;For his passage, the soldiers' music and the rites of war speak loudly for him.
A second Daniel!—A Daniel, Jew!;A second Daniel!
And, as thou badest me, In troops I have dispersed them 'bout the isle.;As you are, I have dispersed them in troops on the island.
Are you a married man or a bachelor?;Are you a married man or a bachelor?
And yon tall anchoring bark,;And yon tall anchoring bark,
A peevish schoolboy, worthless of such honor, Joined with a masker and a reveler!;A peevish schoolboy, worthless of such honor, joined with a masker and a reveler.
And here he stands.;Here he stands.
A lean cheek, which you have not; a blue eye and sunken, which you have not; an unquestionable spirit, which you have not; a beard neglected, which you have not—but I pardon you for that, for simply your having in beard is a younger brother’s revenue.;A lean cheek, which you have not; a blue eye and sunken eye, which you have not; an unquestionable spirit, which you have not; a beard neglected, which you have not.
And I.;I.
All’s well, sweeting, Come away to bed.— Myself will be your surgeon.;All is well, sweet, come back to bed.
And for my name of George begins with  It follows in his thought that I am he.;My name of George begins with his thought that I am him.
A grandam’s name is little less in love Than is the doting title of a mother.;A grandam is little less in love than a mother is.
Ah me!;Ah, I am.
And this report Hath so exasperated the king that he Prepares for some attempt of war.;This report has a king so exasperated that he is ready for some war.
Are they so followed?;Are they so followed?
And with the juice of this I’ll streak her eyes And make her full of hateful fantasies.;I will be squeezing her eyes with the juice of this juice and make her full of hateful fantasies.
And now they do re-stem Their backward course, bearing with frank appearance Their purposes toward Cyprus.;Now they are re-stripping their backward course, bearing with frank appearance their intentions toward Cyprus.
And, to inure thyself to what thou art like to be, cast thy humble slough and appear fresh.;To get to know what you are like to be, cast your humble slough and appear fresh.
And to that place the sharp Athenian law Cannot pursue us.;The Athenian law cannot pursue us.
And doth affection breed it?;Does affection breed it?
A friend?;A friend?
Am I in earth, in heaven, or in hell?;Am I in earth, in heaven, or in hell?
A most miraculous work in this good king, Which often since my here-remain in England I have seen him do.;I have seen him do it many times since I am here in England.
And so of men.;And so of men.
And how was that ta'en up?;How was that ta'en up?
And yesternight, at supper, You suddenly arose and walked about, Musing and sighing, with your arms across, And when I asked you what the matter was, You stared upon me with ungentle looks.;You suddenly arose and sighed, with your arms across the table, and when I asked you what the matter was, you stared upon me with ungentle looks.
Again!;Again!
Are they married, think you?;Are they married, think you?
A great suspicion.;It is a great suspicion.
And discourse fustian with one’s own shadow?;And discourse fustian with one’s shadow?
A hit, a very palpable hit.;A hit, a very palpable hit.
A hundred then.;A hundred.
A little, by your favor.;A little, by your favor.
Alack the day!;You have to be prepared for the day!
Alack, our terrene moon is now eclipsed, And it portends alone the fall of Antony.;Our moon is now eclipsed, and it is only the fall of Antony.
Anything.;Anything.
A friend.;A friend.
And we’ll consign thereto.—Will you, fair sister, Go with the princes or stay here with us?;We will send you there.
A brave vessel Who had, no doubt, some noble creature in her Dashed all to pieces.;A brave vessel who had, without doubt, some noble creature in her boat sat down to pieces.
A good and virtuous nature may recoil In an imperial charge.;A good and virtuous nature may be a king in an imperial charge.
Ah, for my husband, for my dear lord Edward!;Oh, for my husband, for my dear Edward!
And so farewell.—Katherina, you may stay, For I have more to commune with Bianca.;You may stay, because I have more to share with Bianca.
A most poor credulous monster.—Well drawn, monster, in good sooth!;A poor credulous monster.
And thereof came it that the man was mad.;It was that the man was mad.
And then he drew a dial from his poke And, looking on it with lackluster eye, Says very wisely, “It is ten o'clock.;He drew a dial from his poke and, looking at it with a lackluster eye, says wisely, “It is ten o'clock.
And so did I.;I did.
And, you know, his means, If he improve them, may well stretch so far As to annoy us all; which to prevent, Let Antony and Caesar fall together.;You know, if he improves them, he may well be able to make it worse for us all.
A challenge, on my life.;I am a challenge.
A could never abide carnation.;A man could never be able to do so.
Adieu.;Adieu.
And thither will I straight to visit him.;I will go straight to visit him.
A very fine one.;A very fine one.
A flatterer’s would not, though they do appear As huge as high Olympus.;A flatterer would not, though they appear as big as high Olympus.
And we mean well in going to this mask, But ’tis no wit to go.;We mean well in going to this mask, but there is no wit to go.
Are these things spoken, or do I but dream?;Are these things spoken, or do I dream?
All my pretty ones?;All my pretty ones?
A sleeve?;A sleeve?
And his kinsman too.;He is a kinsman.
And therefore ’tis called a sensible tale.;It is a sensible tale.
And nothing is at a like goodness still.;Nothing is at a like goodness still.
A foolish thought, to say a sorry sight.;It is a foolish thought, to say a sorry sight.
An unauthorized kiss!;Anunauthorized kiss!
Abhor it, fear it, do not enter it.;Be afraid, do not enter it.
A charge we bear i’ th’ war, And as the president of my kingdom will Appear there for a man.;We are a war-torn nation, and as the president of my kingdom will be there for a man.
Are you sure That we are awake?;Are you sure that we are awake?
A good wench, give it me.;If you have a good wench, give it to me.
All this done, Repair to Pompey’s porch, where you shall find us.;All this is done, repair to Pompey’s porch, where you will find us.
A dream itself is but a shadow.;A dream itself is only a shadow.
And when she speaks, is it not an alarum to love?;When she speaks, is it an alarum to love?
Am I that name, Iago?;Am I that name, Iago?
Alack, alack!;Oh, no!
Appear thou in the likeness of a sigh!;You are like a sigh!
Ah, Juliet, if the measure of thy joy Be heaped like mine, and that thy skill be more To blazon it, then sweeten with thy breath This neighbor air, and let rich music’s tongue Unfold the imagined happiness that both Receive in either by this dear encounter.;If you are a little more than mine, you will be able to blaspherically blaspherical, then you will be able to savour this neighbor air with your breath and let the
All this amazement can I qualify When after that the holy rites are ended I’ll tell you largely of fair Hero’s death.;I will tell you about Hero’s death.
A stone-cutter or painter could not have made him so ill though they had been but two years o' th' trade.;A stone-cutter or painter could not have made him so ill as he was two years old.
Alas, why gnaw you so your nether lip?;Why gnaw you so much your nether lip?
Are you crept hither to see the wrestling?;Are you screaming at her to see the wrestling?
And so it is, truly, and very notably discharged.;It is, truly, and very notably, discharged.
Alas, he faints!;He faints!
A sweeter and a Lovellier gentleman, Framed in the prodigality of nature, Young, valiant, wise, and, no doubt, right royal, The spacious world cannot again afford.;A sweeter and a sweeter gentleman, surrounded by the beauty of nature, young, valiant, wise, and, no doubt, right royal, the spacious world cannot again afford.
All the perfumes of Arabia will not sweeten this little hand.;All the perfumes of Arabia will not sweeten this little hand.
A Cornish name.;A Cornish name.
And turns the sun to shade.;Turns the sun to shade.
A pair of stocks, you rogue!;You are a smuggler.
A spirit I am indeed, But am in that dimension grossly clad Which from the womb I did participate.;I am a spirit, but I am in that dimension grossly clad.
Alas, poor shepherd, searching of thy wound, I have by hard adventure found mine own.;I have found mine by hard adventure.
And so I am, I am.;I am.
And second father This lady makes him to me.;I am a second father.
