Anon!	Goodbye!
This cannot anger him.	This can’t anger him.
Nay, I bear it on my shoulders as a beggar wont her brat, and I think when he hath lamed me, I shall beg with it from door to door.	I’ll beg it from door to door when he has lamed me.
To what base uses we may return, Horatio.	We can return to what base we use, Horatio.
Come hither, sir.	Come here, sir.
Come to me, that of this I may speak more.	Come to me, so I can speak more about this.
Fair Beatrice, I thank you for your pains.	Fair Beatrice, thank you for your efforts.
Folded the writ up in form of th' other, Subscribed it, gave ’t th' impression, placed it safely, The changeling never known.	Folded the writ up in the form of the other, signed it, gave it a safe impression, and placed it safely, the changeling never known.
If he were dead, you’d weep for him.	If he were dead, you’d cry for him.
How?	How?
I am sure I am none such.	I’m sure I’m not such a person.
As I did sleep under this yew tree here, I dreamt my master and another fought, And that my master slew him.	As I slept under this yew tree here, I dreamed my master and another fighter had fought, and that my master slew him.
He is at hand, and Pindarus is come To do you salutation from his master.	He’s at hand, and Pindarus’s coming to greet you from his master.
I tell thee, Kate, ’twas burnt and dried away.	I tell you, Kate, it was burnt and dried away.
Indeed, it is a strange-disposèd time.	It’s a strange time.
Do not doubt, Cassio, But I will have my lord and you again As friendly as you were.	I’ll have my lord and you again as friendly as you were.
I would exult, man.	I’d like to go, man.
Captain Macmorris, when there is more better opportunity to be required, look you, I will be so bold as to tell you I know the disciplines of war, and there is an end.	Captain Macmorris, when there’s more opportunity to be required, look, I’ll be so bold as to tell you I know the rules of war, and there’s an end.
Lucius, who’s that knocking?	Lucius, who’s that knocking?
Yield, cur.	Yield, curt.
For my Lord Lackbeard there, he and I shall meet, and till then peace be with him.	For my Lord Lackbeard there, he and I will meet, and until then we’ll be in peace with him.
Macduff is missing, and your noble son.	Macduff is missing, and your noble son.
Your wrongs do set a scandal on my sex.	Your wrongs have ruined my sexuality.
Since the youth will not be entreated, his own peril on his forwardness.	Since the youth won’t be able to get out of here, he’s putting his own risk on his future.
I will bring you thither.	I’ll bring you there.
Indeed, he hath an excellent good name.	Indeed, he has an excellent reputation.
Angels are bright still, though the brightest fell.	Angels are still bright, even though the brightest fell.
O Cassio, whence came this?	Oh Cassio, when did this come from?
To me, sir?	To me, sir?
He is composed and framed of treachery, And fled he is upon this villainy.	He’s a man who’s a man of treachery, and he’s fled from this evil.
Fulvia thy wife first came into the field.	Your wife Fulvia came first to the field.
And if I cannot, I’ll find those that shall.	And if I can’t, I’ll find those who can.
